,sensor,agg,axis,feature_name,fi_all,fi_dynamic,fi_standing,fi_sitting,fi_laying,fi_walking,fi_walking_up,fi_walking_down
275,fBodyAcc,max(),Y,fBodyAcc-max()-Y,0.0005348880018078466,1.0653675875325704e-05,0.0002829285960543285,0.0004777079887688858,0.000484694868782453,0.0006235378261328021,0.0034565025972824776,0.0017646255657258587
276,fBodyAcc,max(),Z,fBodyAcc-max()-Z,0.00016978835169122918,0.0,0.00020678048493408965,0.0007261302330012323,0.0003467458767585369,0.00022823358681968542,0.009590241426136379,0.0007828801116981991
277,fBodyAcc,min(),X,fBodyAcc-min()-X,0.00012646064086701964,0.0,0.0003465973668827852,0.0004312624672246381,2.725087138291607e-05,1.3857342027935899e-05,7.267017870532161e-05,0.0001006762312932146
278,fBodyAcc,min(),Y,fBodyAcc-min()-Y,9.619125440705276e-05,0.0,0.0003006123026584374,0.00014731468431052497,7.601204095122217e-05,0.00010496294091358655,8.030776192031478e-05,3.2930409326346836e-05
279,fBodyAcc,min(),Z,fBodyAcc-min()-Z,0.0001091829446624265,0.0,0.00035734285871100326,0.0003804311980596592,0.00013759773224964142,0.0002269521230172339,7.260750886792259e-05,6.168572636539957e-05
280,fBodyAcc,sma(),,fBodyAcc-sma(),0.0011992113172639416,0.009990397680256858,0.0019199980957068008,0.00021014531168337278,0.0,0.00032343225042611194,0.0002404153082201977,0.011913674499459232
281,fBodyAcc,energy(),X,fBodyAcc-energy()-X,0.0065883306740659045,0.0,0.004565469148581704,0.0025092825131632353,0.00033421942484331035,0.007516258468037015,0.0011823038764971626,0.015030595404707574
282,fBodyAcc,energy(),Y,fBodyAcc-energy()-Y,0.0002827099340664269,0.0,0.0036975622836209095,0.0008284536833477577,1.0493969982809627e-05,0.00016466207887453789,0.0003005751900741693,7.222239586433147e-05
283,fBodyAcc,energy(),Z,fBodyAcc-energy()-Z,0.0004209751804486931,0.0,0.00031215296626125265,0.0012074194539737197,3.4249526142789584e-05,0.00018882439124614812,0.000561515475152314,0.0001087165545210119
284,fBodyAcc,iqr(),X,fBodyAcc-iqr()-X,0.002263768015291606,0.0,0.0008432605692030482,0.00020923034704605756,0.00010257261555167709,0.00014128414525457384,0.0016063461381906675,0.000769602672422597
285,fBodyAcc,iqr(),Y,fBodyAcc-iqr()-Y,7.733640892684991e-05,0.0,0.0002729816891327695,0.00018679921813783294,0.00010019277416378086,8.764142145503681e-05,0.00013609782033949957,2.4878057625704912e-05
286,fBodyAcc,iqr(),Z,fBodyAcc-iqr()-Z,0.00031781470440375514,0.0,0.00019816978120786372,0.0003053059961990922,0.0,4.500296331807555e-05,0.0002445784689283704,0.0008826651367043832
287,fBodyAcc,entropy(),X,fBodyAcc-entropy()-X,0.002334722866472,0.019892552275802264,0.00028247742068199835,0.0021014292963209983,0.0002131438369715757,0.00010399016154952893,0.00010412440071391989,0.0001495992758782228
288,fBodyAcc,entropy(),Y,fBodyAcc-entropy()-Y,0.002126866383125116,0.0,7.544352034406519e-05,0.00015122411229372894,0.0,0.00010594189201982474,0.00013601782738367185,0.00020498526838254988
289,fBodyAcc,entropy(),Z,fBodyAcc-entropy()-Z,0.00015070715340160994,0.0,5.033374824739428e-05,2.448877714327457e-06,8.036149395844009e-06,0.0002109699172866851,0.00033629625841387567,0.00021312547809827428
290,fBodyAcc,maxInds,X,fBodyAcc-maxInds-X,0.0004924778787474043,9.766867993522565e-05,0.0005764803248132518,0.0003847194465712556,0.002344920560077554,4.504898418892961e-05,0.0003879787913614588,0.0008165714286882751
291,fBodyAcc,maxInds,Y,fBodyAcc-maxInds-Y,0.0002229749245164992,0.0,4.181406395323307e-05,0.0002196740199041048,0.0001796723407943952,0.0005809308404820765,0.000442453502154658,0.0002632804191154646
292,fBodyAcc,maxInds,Z,fBodyAcc-maxInds-Z,0.00011999772340886769,0.0,3.130831238442203e-05,8.8563260436149e-05,1.526662778931376e-05,0.000165718340743726,0.00043349492602401613,0.0001259626352830733
293,fBodyAcc,meanFreq(),X,fBodyAcc-meanFreq()-X,0.00137809603388197,0.0,0.0010813992797434819,0.0003502102583538933,0.003867988955650695,0.0002117745583701561,0.00012889043456169473,0.0002079275122355643
294,fBodyAcc,meanFreq(),Y,fBodyAcc-meanFreq()-Y,0.0014946338786098112,8.231894631748714e-06,0.0013623720985306547,0.000321467944128403,0.0007491812595881363,0.00014043849141061156,0.0017781258473732347,0.0002021906807422328
295,fBodyAcc,meanFreq(),Z,fBodyAcc-meanFreq()-Z,0.0028084918683284575,1.6398817212643628e-06,0.0001952982682956822,0.0006813467800277515,0.00020233645060673187,0.0014704157794543401,0.020430912297230527,0.0005665734586841919
296,fBodyAcc,skewness(),X,fBodyAcc-skewness()-X,0.001287071636555827,0.0,0.009797059903349186,0.0006023904579763134,0.002552859184267241,0.0023953682603681074,0.0006983004885256636,0.000125578999944006
